id,web_name,team,team_name,position,total_points,goals_scored,assists,bonus,clean_sheets,minutes,draft_rank,selected_by_percent,now_cost
495,Hayden,15,NEW,MID,0,0,0,0,0,0,619,0.0,4.5
496,Kuol,15,NEW,MID,0,0,0,0,0,0,656,0.0,4.4
497,L.Miley,15,NEW,MID,72,1,4,5,2,1493,487,1.7,4.4
498,White,15,NEW,MID,0,0,0,0,0,0,595,0.0,4.5
499,Isak,12,LIV,FWD,41,3,1,4,1,694,4,3.8,10.3
500,Osula,15,NEW,FWD,76,7,1,13,2,805,218,2.1,5.5
501,Neave,15,NEW,FWD,1,0,0,0,0,13,557,0.3,4.3
502,Sels,16,NFO,GKP,105,0,0,3,7,2667,249,5.0,4.6
503,C.Miguel,16,NFO,GKP,0,0,0,0,0,0,773,0.1,4.0
504,Turner,16,NFO,GKP,0,0,0,0,0,0,722,0.1,4.0
505,Milenković,16,NFO,DEF,119,0,1,2,9,3375,148,3.3,5.1
506,Murillo,16,NFO,DEF,83,1,0,3,6,2130,163,1.8,5.2
507,Aina,16,NFO,DEF,67,0,2,5,6,1587,250,2.1,4.7
508,N.Williams,16,NFO,DEF,128,2,3,15,9,3203,273,4.2,4.8
509,David Carmo,16,NFO,DEF,0,0,0,0,0,0,630,0.0,4.5
510,Jair Cunha,16,NFO,DEF,13,0,0,0,0,514,597,0.1,4.2
511,Morato,16,NFO,DEF,53,1,0,1,2,1340,610,0.1,4.3
512,O.Richards,16,NFO,DEF,0,0,0,0,0,0,640,0.0,4.5
513,Abbott,16,NFO,DEF,3,0,0,0,0,165,781,0.2,3.8
514,Boly,16,NFO,DEF,0,0,0,0,0,0,740,0.3,3.8
515,Gibbs-White,16,NFO,MID,188,15,4,18,10,3101,25,9.2,7.6
516,Hudson-Odoi,16,NFO,MID,88,3,4,8,6,1838,95,0.6,5.7
517,Anderson,16,NFO,MID,180,4,5,16,10,3332,171,9.4,5.7
518,Jota,16,NFO,MID,1,0,0,0,0,11,225,0.0,5.4
519,Dominguez,16,NFO,MID,48,1,1,3,3,1168,392,0.0,5.0
520,O'Brien,16,NFO,MID,0,0,0,0,0,0,374,0.0,5.0
521,Sangaré,16,NFO,MID,89,2,2,2,8,2073,346,0.1,4.9
522,Yates,16,NFO,MID,30,0,2,0,0,602,327,0.1,4.7
523,Da Silva Moreira,16,NFO,MID,0,0,0,0,0,0,579,0.1,4.5
524,Stamenic,16,NFO,MID,0,0,0,0,0,0,642,0.0,4.5
525,Wood,16,NFO,FWD,41,3,0,4,2,896,21,4.7,7.1
526,Igor Jesus,16,NFO,FWD,114,6,6,13,9,2293,97,2.4,5.9
527,Awoniyi,16,NFO,FWD,43,4,2,4,1,480,177,0.4,5.2
528,Patterson,17,SUN,GKP,0,0,0,0,0,0,516,0.1,4.2
529,Moore,17,SUN,GKP,0,0,0,0,0,0,733,0.3,3.9
530,Nna Noukeu,17,SUN,GKP,0,0,0,0,0,0,778,0.1,3.9
531,Ballard,17,SUN,DEF,116,2,2,9,6,2144,556,2.4,4.6
532,Hume,17,SUN,DEF,110,2,1,6,9,3032,539,0.3,4.5
533,Alese,17,SUN,DEF,0,0,0,0,0,0,841,0.0,4.0
534,Anderson,17,SUN,DEF,0,0,0,0,0,0,742,0.3,3.8
535,Cirkin,17,SUN,DEF,14,0,0,0,1,319,737,0.0,4.0
536,Hjelde,17,SUN,DEF,0,0,0,0,0,0,835,0.0,4.0
537,Huggins,17,SUN,DEF,0,0,0,0,0,0,779,0.1,4.0
538,Johnson,17,SUN,DEF,0,0,0,0,0,0,762,0.2,3.8
539,O'Nien,17,SUN,DEF,26,0,1,1,2,565,828,0.1,4.0
540,Pembele,17,SUN,DEF,0,0,0,0,0,0,780,0.3,3.9
541,Reinildo,17,SUN,DEF,74,0,2,6,6,1966,701,3.0,3.8
542,Seelt,17,SUN,DEF,2,0,0,0,0,133,750,0.1,4.0
543,Adingra,17,SUN,MID,34,1,1,3,4,649,161,0.3,4.9
544,Diarra,17,SUN,MID,65,2,6,3,5,1403,206,0.1,5.3
545,Roberts,17,SUN,MID,1,0,0,0,0,27,232,0.0,5.4
546,Aleksić,17,SUN,MID,0,0,0,0,0,0,355,0.0,4.9
547,E.Le Fée,17,SUN,MID,147,5,6,16,10,2930,269,1.6,4.8
