league_code,date_added,gameweek,short_name,kind,result,index,priority,position,element_in,player_in,element_out,player_out,player_in_points_scored_in_week,player_out_points_scored_in_week,net_points_of_transfer_in_week,abs_net_trade,transfer_category
Conf,2025-12-12 15:49:40.349699+00:00,16,PV,free agent,successful,,,MID,329,Wilson (16),83,O.Dango (2),16,2,14,14,free agent - successful
Conf,2025-08-21 18:06:02.400981+00:00,2,CR,waiver,unsuccessful - player in already been picked up,8.0,3.0,DEF,7,Calafiori (13),38,Konsa (0),13,0,13,13,waiver - unsuccessful - player in already been picked up
Conf,2025-08-28 11:35:34.514002+00:00,3,HC,waiver,unsuccessful - player in already been picked up,11.0,2.0,DEF,8,J.Timber (2),260,Guéhi (15),2,15,-13,13,waiver - unsuccessful - player in already been picked up
Conf,2026-01-14 09:36:38.823271+00:00,22,IR,waiver,successful,8.0,3.0,DEF,374,Konaté (2),441,Dorgu (15),2,15,-13,13,waiver - successful
Conf,2026-02-07 16:23:41.860950+00:00,26,HC,waiver,successful,2.0,1.0,DEF,443,Shaw (2),720,Hincapie (15),2,15,-13,13,waiver - successful
Conf,2026-04-13 22:32:18.276115+00:00,33,CR,waiver,successful,5.0,1.0,DEF,74,Truffert (13),7,Calafiori (0),13,0,13,13,waiver - successful
Conf,2026-04-14 06:27:15.339326+00:00,33,BP,waiver,unsuccessful - player in already been picked up,6.0,2.0,DEF,74,Truffert (13),531,Ballard (0),13,0,13,13,waiver - unsuccessful - player in already been picked up
Conf,2026-04-15 19:58:14.951466+00:00,33,PV,waiver,unsuccessful - player out already gone,9.0,2.0,MID,698,Okafor (16),83,O.Dango (3),16,3,13,13,waiver - unsuccessful - player out already gone
Conf,2026-04-30 17:11:53.263622+00:00,35,PV,waiver,successful,3.0,2.0,MID,418,Doku (15),390,Gravenberch (2),15,2,13,13,waiver - successful
Conf,2025-08-21 14:50:46.621331+00:00,2,HC,waiver,unsuccessful - player in already been picked up,12.0,4.0,DEF,7,Calafiori (13),10,Lewis-Skelly (1),13,1,12,12,waiver - unsuccessful - player in already been picked up
Conf,2025-08-28 21:00:09.743408+00:00,3,CR,waiver,successful,12.0,2.0,MID,237,Enzo (12),414,Foden (0),12,0,12,12,waiver - successful
